"queryId","partialQEPId"
"0","1"
"1","1"
"2","5"
"2","10"
"2","14"
"2","6"
"2","9"
"2","13"
"2","2"
"2","17"
"2","12"
"2","7"
"2","3"
"2","112"
"2","18"
"2","16"
"2","11"
"2","143"
"2","139"
"2","8"
"2","19"
"2","4"
"2","15"
"3","1"
"4","1"
"5","1"
"6","1"
"7","1"
"8","1"
"9","5"
"9","10"
"9","14"
"9","6"
"9","9"
"9","13"
"9","2"
"9","64"
"9","17"
"9","59"
"9","12"
"9","7"
"9","108"
"9","3"
"9","18"
"9","16"
"9","11"
"9","8"
"9","19"
"9","4"
"9","15"
"10","76"
"10","24"
"10","2"
"11","44"
"11","20"
"12","122"
"12","24"
"12","2"
"13","5"
"13","10"
"13","14"
"13","6"
"13","9"
"13","13"
"13","2"
"13","17"
"13","12"
"13","7"
"13","130"
"13","3"
"13","63"
"13","18"
"13","150"
"13","16"
"13","11"
"13","8"
"13","19"
"13","4"
"13","15"
"14","70"
"14","21"
"14","22"
"14","23"
"15","58"
"15","20"
"16","100"
"16","24"
"16","2"
"17","50"
"17","20"
"18","30"
"18","24"
"18","2"
"19","67"
"19","21"
"19","22"
"19","23"
"20","72"
"20","20"
"21","154"
"21","21"
"21","22"
"21","23"
"22","28"
"22","20"
"23","107"
"23","21"
"23","22"
"23","23"
"24","1"
"25","1"
"26","1"
"27","1"
"28","1"
"29","1"
"30","1"
"31","1"
"32","5"
"32","10"
"32","14"
"32","57"
"32","116"
"32","6"
"32","9"
"32","96"
"32","13"
"32","2"
"32","17"
"32","12"
"32","7"
"32","3"
"32","18"
"32","16"
"32","11"
"32","8"
"32","19"
"32","4"
"32","15"
"33","1"
"34","1"
"35","1"
"36","1"
"37","1"
"38","1"
"39","1"
"40","1"
"41","5"
"41","10"
"41","153"
"41","14"
"41","6"
"41","137"
"41","9"
"41","13"
"41","2"
"41","17"
"41","12"
"41","7"
"41","3"
"41","123"
"41","18"
"41","16"
"41","11"
"41","8"
"41","19"
"41","4"
"41","15"
"42","1"
"43","1"
"44","1"
"45","1"
"46","1"
"47","88"
"47","5"
"47","10"
"47","14"
"47","147"
"47","6"
"47","65"
"47","9"
"47","13"
"47","2"
"47","17"
"47","12"
"47","7"
"47","3"
"47","18"
"47","16"
"47","11"
"47","8"
"47","19"
"47","4"
"47","15"
"48","131"
"48","21"
"48","22"
"48","23"
"49","155"
"49","20"
"50","101"
"50","21"
"50","22"
"50","23"
"51","68"
"51","20"
"52","104"
"52","21"
"52","22"
"52","23"
"53","69"
"53","5"
"53","10"
"53","14"
"53","110"
"53","6"
"53","9"
"53","13"
"53","2"
"53","45"
"53","17"
"53","12"
"53","7"
"53","3"
"53","18"
"53","16"
"53","11"
"53","8"
"53","19"
"53","4"
"53","15"
"54","1"
"55","5"
"55","10"
"55","14"
"55","29"
"55","6"
"55","9"
"55","13"
"55","2"
"55","17"
"55","71"
"55","12"
"55","7"
"55","3"
"55","18"
"55","16"
"55","11"
"55","8"
"55","151"
"55","19"
"55","4"
"55","15"
"56","5"
"56","10"
"56","14"
"56","89"
"56","6"
"56","9"
"56","13"
"56","105"
"56","2"
"56","17"
"56","12"
"56","54"
"56","7"
"56","3"
"56","18"
"56","16"
"56","11"
"56","8"
"56","19"
"56","4"
"56","15"
"57","5"
"57","10"
"57","14"
"57","6"
"57","9"
"57","13"
"57","2"
"57","17"
"57","12"
"57","7"
"57","3"
"57","35"
"57","18"
"57","16"
"57","11"
"57","8"
"57","19"
"57","4"
"57","79"
"57","47"
"57","15"
"58","5"
"58","10"
"58","14"
"58","6"
"58","117"
"58","85"
"58","9"
"58","13"
"58","2"
"58","17"
"58","12"
"58","7"
"58","3"
"58","145"
"58","18"
"58","16"
"58","11"
"58","8"
"58","19"
"58","4"
"58","15"
"59","5"
"59","10"
"59","14"
"59","6"
"59","9"
"59","109"
"59","13"
"59","2"
"59","17"
"59","149"
"59","12"
"59","7"
"59","3"
"59","18"
"59","16"
"59","11"
"59","8"
"59","119"
"59","19"
"59","4"
"59","15"
"60","1"
"61","1"
"62","1"
"63","1"
"64","1"
"65","1"
"66","1"
"67","5"
"67","10"
"67","14"
"67","6"
"67","9"
"67","13"
"67","2"
"67","148"
"67","17"
"67","12"
"67","7"
"67","98"
"67","103"
"67","3"
"67","18"
"67","16"
"67","11"
"67","8"
"67","19"
"67","4"
"67","15"
"68","5"
"68","10"
"68","14"
"68","6"
"68","9"
"68","13"
"68","2"
"68","17"
"68","12"
"68","81"
"68","7"
"68","3"
"68","18"
"68","16"
"68","11"
"68","114"
"68","8"
"68","19"
"68","4"
"68","15"
"68","62"
"69","1"
"70","5"
"70","10"
"70","14"
"70","152"
"70","6"
"70","9"
"70","13"
"70","2"
"70","32"
"70","17"
"70","12"
"70","7"
"70","3"
"70","18"
"70","16"
"70","11"
"70","8"
"70","19"
"70","4"
"70","15"
"70","83"
"71","1"
"72","1"
"73","1"
"74","1"
"75","1"
"76","1"
"77","1"
"78","5"
"78","10"
"78","25"
"78","14"
"78","6"
"78","33"
"78","9"
"78","13"
"78","2"
"78","17"
"78","12"
"78","7"
"78","3"
"78","18"
"78","16"
"78","11"
"78","8"
"78","146"
"78","19"
"78","4"
"78","15"
"79","5"
"79","10"
"79","14"
"79","6"
"79","9"
"79","13"
"79","2"
"79","17"
"79","12"
"79","7"
"79","39"
"79","3"
"79","18"
"79","16"
"79","11"
"79","8"
"79","75"
"79","19"
"79","4"
"79","126"
"79","15"
"80","5"
"80","10"
"80","14"
"80","6"
"80","38"
"80","9"
"80","53"
"80","13"
"80","2"
"80","17"
"80","12"
"80","7"
"80","3"
"80","18"
"80","16"
"80","11"
"80","40"
"80","8"
"80","19"
"80","4"
"80","15"
"81","5"
"81","10"
"81","37"
"81","14"
"81","6"
"81","92"
"81","9"
"81","13"
"81","41"
"81","2"
"81","17"
"81","12"
"81","7"
"81","3"
"81","18"
"81","16"
"81","11"
"81","8"
"81","19"
"81","4"
"81","15"
"82","20"
"83","20"
"84","20"
"85","20"
"86","1"
"87","1"
"88","1"
"89","115"
"89","5"
"89","10"
"89","14"
"89","84"
"89","6"
"89","9"
"89","13"
"89","134"
"89","2"
"89","17"
"89","12"
"89","7"
"89","3"
"89","18"
"89","16"
"89","11"
"89","8"
"89","19"
"89","4"
"89","15"
"90","1"
"91","1"
"92","1"
"93","1"
"94","1"
"95","1"
"96","5"
"96","10"
"96","14"
"96","6"
"96","102"
"96","9"
"96","124"
"96","13"
