"queryId","partialQEPId"
"137","1"
"138","1"
"139","1"
"140","1"
"141","1"
"142","1"
"143","1"
"144","1"
"145","1"
"146","1"
"147","1"
"148","5"
"148","10"
"148","14"
"148","6"
"148","9"
"148","13"
"148","2"
"148","17"
"148","12"
"148","7"
"148","66"
"148","3"
"148","48"
"148","18"
"148","16"
"148","11"
"148","43"
"148","8"
"148","19"
"148","4"
"148","15"
"149","5"
"149","10"
"149","14"
"149","78"
"149","6"
"149","9"
"149","13"
"149","73"
"149","128"
"149","2"
"149","17"
"149","12"
"149","7"
"149","3"
"149","18"
"149","16"
"149","11"
"149","8"
"149","19"
"149","4"
"149","15"
"150","5"
"150","10"
"150","14"
"150","6"
"150","9"
"150","13"
"150","2"
"150","17"
"150","27"
"150","12"
"150","7"
"150","135"
"150","3"
"150","18"
"150","16"
"150","11"
"150","87"
"150","8"
"150","19"
"150","4"
"150","15"
"151","5"
"151","10"
"151","42"
"151","14"
"151","6"
"151","9"
"151","13"
"151","2"
"151","17"
"151","12"
"151","144"
"151","7"
"151","3"
"151","18"
"151","16"
"151","11"
"151","8"
"151","19"
"151","4"
"151","136"
"151","15"
"152","5"
"152","10"
"152","14"
"152","6"
"152","9"
"152","13"
"152","2"
"152","17"
"152","12"
"152","7"
"152","3"
"152","18"
"152","16"
"152","31"
"152","11"
"152","8"
"152","82"
"152","19"
"152","4"
"152","15"
"152","111"
"153","5"
"153","10"
"153","56"
"153","14"
"153","6"
"153","9"
"153","13"
"153","129"
"153","2"
"153","17"
"153","12"
"153","7"
"153","140"
"153","3"
"153","18"
"153","16"
"153","11"
"153","8"
"153","19"
"153","4"
"153","15"
"154","5"
"154","120"
"154","10"
"154","14"
"154","93"
"154","6"
"154","9"
"154","13"
"154","2"
"154","17"
"154","12"
"154","7"
"154","3"
"154","18"
"154","16"
"154","11"
"154","8"
"154","19"
"154","4"
"154","15"
"154","90"
"155","5"
"155","10"
"155","14"
"155","121"
"155","6"
"155","9"
"155","13"
"155","2"
"155","17"
"155","12"
"155","7"
"155","3"
"155","18"
"155","16"
"155","127"
"155","11"
"155","8"
"155","51"
"155","19"
"155","4"
"155","15"
"156","5"
"156","10"
"156","142"
"156","14"
"156","6"
"156","156"
"156","9"
"156","77"
"156","13"
"156","2"
"156","17"
"156","12"
"156","7"
"156","3"
"156","18"
"156","16"
"156","11"
"156","8"
"156","19"
"156","4"
"156","15"
"157","5"
"157","10"
"157","14"
"157","6"
"157","9"
"157","141"
"157","13"
"157","2"
"157","17"
"157","12"
"157","113"
"157","7"
"157","3"
"157","18"
"157","16"
"157","11"
"157","99"
"157","8"
"157","19"
"157","4"
"157","15"
"158","1"
"159","1"
"160","1"
"161","1"
"162","1"
"163","1"
"164","1"
"165","1"
"166","1"
"167","1"
"168","1"
"169","1"
"170","5"
"170","10"
"170","14"
"170","106"
"170","6"
"170","9"
"170","13"
"170","2"
"170","34"
"170","17"
"170","12"
"170","7"
"170","3"
"170","18"
"170","16"
"170","11"
"170","55"
"170","8"
"170","19"
"170","4"
"170","15"
"171","138"
"171","5"
"171","10"
"171","14"
"171","132"
"171","74"
"171","6"
"171","9"
"171","13"
"171","2"
"171","17"
"171","12"
"171","7"
"171","3"
"171","18"
"171","16"
"171","11"
"171","8"
"171","19"
"171","4"
"171","15"
