"partialQEP";"impliedPartialQEPs"
"3672";"209, 210"
"3331";"13, 3604, 281, 2303, 3488"
"2990";"134, 13"
"3744";"90, 13"
"3026";"90, 13"
"2685";"90, 13"
"3340";"90, 13"
"2344";"4279, 817, 18"
"4551";"134, 13"
"3753";"90, 13"
"2353";"736, 745, 94"
"4560";"167, 18"
"2012";"717, 718, 94"
"137";"135, 136, 51"
"3107";"4568, 13, 281, 4558, 3560"
"4632";"90, 13"
"2021";"668, 665, 94"
"4291";"4498, 90, 13"
"4228";"216, 217"
"891";"906"
"1205";"1871, 90, 13"
"550";"526, 381"
"864";"284"
"146";"33"
"2775";"3706, 18, 2540, 515"
"4641";"216, 217"
"4300";"733"
"559";"568, 53"
"3959";"134, 13"
"218";""
"4713";"189, 87"
"3995";"2594, 281, 13"
"4309";"3942, 1588, 13, 281, 4299"
"3654";"2864, 281, 13"
"568";"53"
"3968";"1630, 4178, 1069"
"3627";"90, 13"
"227";""
"1752";"558, 557, 94"
"4381";"536, 13"
"3322";"3774, 90, 13"
"2981";"134, 13"
"2640";"4483, 90, 13"
"765";"720"
"4542";"209, 210"
"2649";"167, 18"
"1833";"134, 13"
"1115";""
"774";"763, 726, 313"
"433";"33"
"92";"93"
"3403";"512, 505"
"1528";"3630, 90, 13"
"4587";"13, 2043, 2617, 281, 4509"
"1187";"2380, 281, 13"
"1501";"736, 745, 94"
"846";""
"1160";""
"442";"441"
"101";"104"
"4623";"134, 13"
"1196";"90, 13"
"4596";"167, 18"
"4255";"2143, 134, 13"
"855";"94"
"200";"204, 99, 81"
"514";"517"
"3062";"668, 665, 94"
"2721";"167, 18"
"173";"171, 174"
"2380";"281, 13"
"3950";"189, 87"
"209";"210"
"523";""
"3609";"216, 217"
"182";"181, 39"
"1393";"2859"
"1707";"536, 13"
"3618";"281, 13"
"3277";"1845, 90, 13"
"191";""
"2802";"456, 457, 81"
"254";"253, 252, 256, 251, 255"
"1743";"189, 87"
"2461";"189, 87"
"1402";"907, 870, 94"
"1061";"1021"
"720";""
"4372";"1992, 13, 281, 1349, 1341"
"2156";"90, 13"
"1815";"3203, 134, 13"
"2470";"817, 18"
"2129";"172, 175"
"1411";"3115, 140"
"1474";"134, 13"
"1070";"99, 81, 901, 866"
"729";"21"
"2165";"172, 175"
"1824";"3586, 2875, 94"
"828";"836, 94"
"1483";"795, 18"
"424";"427"
"1142";"421"
"1456";"817, 18"
"738";"94"
