"queryId","partialQEPId"
"406247","1"
"406247","2"
"406247","3"
"406248","1"
"406248","2"
"406248","3"
"406249","1"
"406249","2"
"406249","3"
"406250","1"
"406250","2"
"406250","3"
"406251","1"
"406251","2"
"406251","3"
"406252","1"
"406252","2"
"406252","3"
"406253","1"
"406253","2"
"406253","3"
"406254","1"
"406254","2"
"406254","3"
"406255","1"
"406255","2"
"406255","3"
"406256","1"
"406256","2"
"406256","3"
"406257","1"
"406257","2"
"406257","3"
"406258","1"
"406258","2"
"406258","3"
"406259","1"
"406259","2"
"406259","3"
"406260","1"
"406260","2"
"406260","3"
"406261","1"
"406261","2"
"406261","3"
"406262","1"
"406262","2"
"406262","3"
"406263","1"
"406263","2"
"406263","3"
"406264","1"
"406264","2"
"406264","3"
"406265","1"
"406265","2"
"406265","3"
"406266","1"
"406266","2"
"406266","3"
"406267","1"
"406267","2"
"406267","3"
"406268","1"
"406268","2"
"406268","3"
"406269","1"
"406269","2"
"406269","3"
"406270","1"
"406270","2"
"406270","3"
"406271","1"
"406271","2"
"406271","3"
"406272","1"
"406272","2"
"406272","3"
"406273","1"
"406273","2"
"406273","3"
"406274","1"
"406274","2"
"406274","3"
"406275","1"
"406275","2"
"406275","3"
"406276","1"
"406276","2"
"406276","3"
"406277","1"
"406277","2"
"406277","3"
"406278","1"
"406278","2"
"406278","3"
"406279","1"
"406279","2"
"406279","3"
"406280","1"
"406280","2"
"406280","3"
"406281","1"
"406281","2"
"406281","3"
"406282","1"
"406282","2"
"406282","3"
"406283","1"
"406283","2"
"406283","3"
"406284","1"
"406284","2"
"406284","3"
"406285","1"
"406285","2"
"406285","3"
"406286","1"
"406286","2"
"406286","3"
"406287","1"
"406287","2"
"406287","3"
"406288","1"
"406288","2"
"406288","3"
"406289","1"
"406289","2"
"406289","3"
"406290","1"
"406290","2"
"406290","3"
"406291","1"
"406291","2"
"406291","3"
"406292","1"
"406292","2"
"406292","3"
"406293","1"
"406293","2"
"406293","3"
"406294","1"
"406294","2"
"406294","3"
"406295","1"
"406295","2"
"406295","3"
"406296","1"
"406296","2"
"406296","3"
"406297","1"
"406297","2"
"406297","3"
"406298","1"
"406298","2"
"406298","3"
"406299","1"
"406299","2"
"406299","3"
"406300","1"
"406300","2"
"406300","3"
"406301","1"
"406301","2"
"406301","3"
"406302","1"
"406302","2"
"406302","3"
"406303","1"
"406303","2"
"406303","3"
"406304","1"
"406304","2"
"406304","3"
"406305","1"
"406305","2"
"406305","3"
"406306","1"
"406306","2"
"406306","3"
"406307","1"
"406307","2"
"406307","3"
"406308","1"
"406308","2"
"406308","3"
"406309","1"
"406309","2"
"406309","3"
"406310","1"
"406310","2"
"406310","3"
"406311","1"
"406311","2"
"406311","3"
"406312","1"
"406312","2"
"406312","3"
"406313","1"
"406313","2"
"406313","3"
"406314","1"
"406314","2"
"406314","3"
"406315","1"
"406315","2"
"406315","3"
"406316","1"
"406316","2"
"406316","3"
"406317","1"
"406317","2"
"406317","3"
"406318","1"
"406318","2"
"406318","3"
"406319","1"
"406319","2"
"406319","3"
"406320","1"
"406320","2"
"406320","3"
"406321","1"
"406321","2"
"406321","3"
"406322","1"
"406322","2"
"406322","3"
"406323","1"
"406323","2"
"406323","3"
"406324","1"
"406324","2"
"406324","3"
"406325","1"
"406325","2"
"406325","3"
"406326","1"
"406326","2"
"406326","3"
"406327","1"
"406327","2"
"406327","3"
"406328","1"
"406328","2"
"406328","3"
"406329","1"
"406329","2"
"406329","3"
"406330","1"
"406330","2"
"406330","3"
"406331","1"
"406331","2"
"406331","3"
"406332","1"
"406332","2"
"406332","3"
"406333","1"
"406333","2"
"406333","3"
"406334","1"
"406334","2"
"406334","3"
"406335","1"
"406335","2"
"406335","3"
"406336","1"
"406336","2"
"406336","3"
"406337","1"
"406337","2"
"406337","3"
"406338","1"
"406338","2"
"406338","3"
"406339","1"
"406339","2"
"406339","3"
"406340","1"
"406340","2"
"406340","3"
"406341","1"
"406341","2"
"406341","3"
"406342","1"
"406342","2"
"406342","3"
"406343","1"
"406343","2"
"406343","3"
"406344","1"
"406344","2"
"406344","3"
"406345","1"
"406345","2"
"406345","3"
"406346","1"
"406346","2"
"406346","3"
"406347","1"
"406347","2"
"406347","3"
"406348","1"
"406348","2"
"406348","3"
"406349","1"
"406349","2"
