"frequency";"partialQEP"
"1";"Aggregate [max(_id#54541) AS max(_id)#1369455]
+- Project [_id#54541]
   +- LogicalRDD [_id#54541, typekey#54542, language#54543, metadata#54544], false
"
"1";"Project [(cast(date#15280 as double) * 1000.0) AS normalized_date#406826, _id#15278, read#15283]
+- Join LeftOuter, (_id#15278 = msg_id#38064)
   :- Project [_id#15278, date#15280, read#15283]
   :  +- Filter (((((((isnotnull(m_type#15291) && isnotnull(msg_box#15282)) && isnotnull(thread_id#15279)) && ((cast(read#15283 as int) = 0) || (cast(seen#15309 as int) = 0))) && (cast(thread_id#15279 as int) = 0)) && NOT (cast(msg_box#15282 as int) = 0)) && NOT (cast(msg_box#15282 as int) = 0)) && (cast(m_type#15291 as int) = 0))
   :     +- LogicalRDD [_id#15278, thread_id#15279, date#15280, date_sent#15281, msg_box#15282, read#15283, m_id#15284, sub#15285, sub_cs#15286, ct_t#15287, ct_l#15288, exp#15289, m_cls#15290, m_type#15291, v#15292, m_size#15293, pri#15294, rr#15295, rpt_a#15296, resp_st#15297, st#15298, tr_id#15299, retr_st#15300, retr_txt#15301, ... 9 more fields], false
   +- Project [msg_id#38064]
      +- Filter isnotnull(msg_id#38064)
         +- LogicalRDD [_id#38062, proto_type#38063, msg_id#38064, msg_type#38065, err_type#38066, err_code#38067, retry_index#38068, due_time#38069, last_try#38070], false
"
"1";"Project [_id#79783, length(log_event#79786) AS length(log_event)#1217068]
+- Filter (isnotnull(play_logger_context_id#79785) && (cast(play_logger_context_id#79785 as int) = 0))
   +- LogicalRDD [_id#79783, hash#79784, play_logger_context_id#79785, log_event#79786], false
"
"1";"Sort [systemLabel#11307 DESC NULLS LAST, sortOrder#1110893 ASC NULLS FIRST], true
+- Project [_id#11301, canonicalName#11302, CASE WHEN (canonicalName#11302 = ^f) THEN 0 WHEN (canonicalName#11302 = ^^out) THEN 0 WHEN (canonicalName#11302 = ^i) THEN 0 WHEN (canonicalName#11302 = ^r) THEN 0 WHEN (canonicalName#11302 = ^b) THEN 0 WHEN (canonicalName#11302 = ^all) THEN 0 WHEN (canonicalName#11302 = ^u) THEN 0 WHEN (canonicalName#11302 = ^k) THEN 0 WHEN (canonicalName#11302 = ^s) THEN 0 WHEN (canonicalName#11302 = ^t) THEN 0 WHEN (canonicalName#11302 = ^g) THEN 0 WHEN (canonicalName#11302 = ^io_im) THEN 0 WHEN (canonicalName#11302 = ^iim) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_personal) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_social) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_promo) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_notification) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_group) THEN 0 ELSE name#11303 END AS name#1110892, numConversations#11304, numUnreadConversations#11305, numUnseenConversations#11314, color#11306, systemLabel#11307, hidden#11309, labelCountDisplayBehavior#11310, labelSyncPolicy#11311, lastTouched#11313, lastMessageTimestamp#11315, CASE WHEN (cast(systemLabel#11307 as int) = 0) THEN canonicalName#11302 ELSE systemLabelOrder#11308 END AS sortOrder#1110893]
   +- Filter (((isnotnull(canonicalName#11302) && isnotnull(hidden#11309)) && (canonicalName#11302 = 0)) && (cast(hidden#11309 as int) = 0))
      +- LogicalRDD [_id#11301, canonicalName#11302, name#11303, numConversations#11304, numUnreadConversations#11305, color#11306, systemLabel#11307, systemLabelOrder#11308, hidden#11309, labelCountDisplayBehavior#11310, labelSyncPolicy#11311, visibility#11312, lastTouched#11313, numUnseenConversations#11314, lastMessageTimestamp#11315], false
"
"1";"Sort [systemLabel#11307 DESC NULLS LAST, sortOrder#593390 ASC NULLS FIRST], true
+- Project [_id#11301, canonicalName#11302, CASE WHEN (canonicalName#11302 = ^f) THEN 0 WHEN (canonicalName#11302 = ^^out) THEN 0 WHEN (canonicalName#11302 = ^i) THEN 0 WHEN (canonicalName#11302 = ^r) THEN 0 WHEN (canonicalName#11302 = ^b) THEN 0 WHEN (canonicalName#11302 = ^all) THEN 0 WHEN (canonicalName#11302 = ^u) THEN 0 WHEN (canonicalName#11302 = ^k) THEN 0 WHEN (canonicalName#11302 = ^s) THEN 0 WHEN (canonicalName#11302 = ^t) THEN 0 WHEN (canonicalName#11302 = ^g) THEN 0 WHEN (canonicalName#11302 = ^io_im) THEN 0 WHEN (canonicalName#11302 = ^iim) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_personal) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_social) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_promo) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_notification) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_group) THEN 0 ELSE name#11303 END AS name#593389, numConversations#11304, numUnreadConversations#11305, numUnseenConversations#11314, color#11306, systemLabel#11307, hidden#11309, labelCountDisplayBehavior#11310, labelSyncPolicy#11311, lastTouched#11313, lastMessageTimestamp#11315, CASE WHEN (cast(systemLabel#11307 as int) = 0) THEN canonicalName#11302 ELSE systemLabelOrder#11308 END AS sortOrder#593390]
   +- Filter (((isnotnull(canonicalName#11302) && isnotnull(hidden#11309)) && (canonicalName#11302 = 0)) && (cast(hidden#11309 as int) = 0))
      +- LogicalRDD [_id#11301, canonicalName#11302, name#11303, numConversations#11304, numUnreadConversations#11305, color#11306, systemLabel#11307, systemLabelOrder#11308, hidden#11309, labelCountDisplayBehavior#11310, labelSyncPolicy#11311, visibility#11312, lastTouched#11313, numUnseenConversations#11314, lastMessageTimestamp#11315], false
"
"1";"Sort [lastTouched#11313 DESC NULLS LAST], true
+- Project [_id#11301, canonicalName#11302, CASE WHEN (canonicalName#11302 = ^f) THEN 0 WHEN (canonicalName#11302 = ^^out) THEN 0 WHEN (canonicalName#11302 = ^i) THEN 0 WHEN (canonicalName#11302 = ^r) THEN 0 WHEN (canonicalName#11302 = ^b) THEN 0 WHEN (canonicalName#11302 = ^all) THEN 0 WHEN (canonicalName#11302 = ^u) THEN 0 WHEN (canonicalName#11302 = ^k) THEN 0 WHEN (canonicalName#11302 = ^s) THEN 0 WHEN (canonicalName#11302 = ^t) THEN 0 WHEN (canonicalName#11302 = ^g) THEN 0 WHEN (canonicalName#11302 = ^io_im) THEN 0 WHEN (canonicalName#11302 = ^iim) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_personal) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_social) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_promo) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_notification) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_group) THEN 0 ELSE name#11303 END AS name#593438, numConversations#11304, numUnreadConversations#11305, numUnseenConversations#11314, color#11306, systemLabel#11307, hidden#11309, labelCountDisplayBehavior#11310, labelSyncPolicy#11311, lastTouched#11313, lastMessageTimestamp#11315, CASE WHEN (cast(systemLabel#11307 as int) = 0) THEN canonicalName#11302 ELSE systemLabelOrder#11308 END AS sortOrder#593439]
   +- Filter (((((isnotnull(hidden#11309) && isnotnull(lastTouched#11313)) && (NOT (canonicalName#11302 = ) || NOT (name#11303 = ))) && (cast(hidden#11309 as int) = 0)) && NOT (cast(lastTouched#11313 as int) = 0)) && (cast(lastTouched#11313 as int) < 0))
      +- LogicalRDD [_id#11301, canonicalName#11302, name#11303, numConversations#11304, numUnreadConversations#11305, color#11306, systemLabel#11307, systemLabelOrder#11308, hidden#11309, labelCountDisplayBehavior#11310, labelSyncPolicy#11311, visibility#11312, lastTouched#11313, numUnseenConversations#11314, lastMessageTimestamp#11315], false
"
"1";"Sort [systemLabel#11307 DESC NULLS LAST, sortOrder#889914 ASC NULLS FIRST], true
+- Project [_id#11301, canonicalName#11302, CASE WHEN (canonicalName#11302 = ^f) THEN 0 WHEN (canonicalName#11302 = ^^out) THEN 0 WHEN (canonicalName#11302 = ^i) THEN 0 WHEN (canonicalName#11302 = ^r) THEN 0 WHEN (canonicalName#11302 = ^b) THEN 0 WHEN (canonicalName#11302 = ^all) THEN 0 WHEN (canonicalName#11302 = ^u) THEN 0 WHEN (canonicalName#11302 = ^k) THEN 0 WHEN (canonicalName#11302 = ^s) THEN 0 WHEN (canonicalName#11302 = ^t) THEN 0 WHEN (canonicalName#11302 = ^g) THEN 0 WHEN (canonicalName#11302 = ^io_im) THEN 0 WHEN (canonicalName#11302 = ^iim) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_personal) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_social) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_promo) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_notification) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_group) THEN 0 ELSE name#11303 END AS name#889913, numConversations#11304, numUnreadConversations#11305, numUnseenConversations#11314, color#11306, systemLabel#11307, hidden#11309, labelCountDisplayBehavior#11310, labelSyncPolicy#11311, lastTouched#11313, lastMessageTimestamp#11315, CASE WHEN (cast(systemLabel#11307 as int) = 0) THEN canonicalName#11302 ELSE systemLabelOrder#11308 END AS sortOrder#889914]
   +- Filter (((isnotnull(canonicalName#11302) && isnotnull(hidden#11309)) && (canonicalName#11302 = 0)) && (cast(hidden#11309 as int) = 0))
      +- LogicalRDD [_id#11301, canonicalName#11302, name#11303, numConversations#11304, numUnreadConversations#11305, color#11306, systemLabel#11307, systemLabelOrder#11308, hidden#11309, labelCountDisplayBehavior#11310, labelSyncPolicy#11311, visibility#11312, lastTouched#11313, numUnseenConversations#11314, lastMessageTimestamp#11315], false
"
"1";"Project [account#114910, asset_id#114912, pinning_status#114926, license_release_pending#114944, external_storage_index#114945, isnotnull(license_cenc_key_set_id#114947) AS (license_cenc_key_set_id IS NOT NULL)#356401]
+- Filter (isnotnull(license_type#114950) && NOT (cast(license_type#114950 as int) = 0))
   +- LogicalRDD [account#114910, asset_type#114911, asset_id#114912, purchase_type#114913, format_type#114914, purchase_status#114915, purchase_timestamp_seconds#114916, expiration_timestamp_seconds#114917, rental_short_timer_seconds#114918, hidden#114919, last_playback_is_dirty#114920, last_playback_start_timestamp#114921, last_watched_timestamp#114922, resume_timestamp#114923, pinned#114924, pinning_notification_active#114925, pinning_status#114926, pinning_status_reason#114927, pinning_drm_error_code#114928, is_new_notification_dismissed#114929, license_video_format#114930, license_expiration_timestamp#114931, license_last_synced_timestamp#114932, license_file_path_key#114933, ... 22 more fields], false
"
"1";"Aggregate [max(_id#94348) AS max(_id)#255073]
+- Project [_id#94348]
   +- LogicalRDD [_id#94348, screenRank#94349, modified#94350], false
"
"1";"Aggregate [max(_id#2692) AS max(_id)#208926]
+- Project [_id#2692]
   +- LogicalRDD [_id#2692, title#2693, intent#2694, container#2695, screen#2696, cellX#2697, cellY#2698, spanX#2699, spanY#2700, itemType#2701, appWidgetId#2702, isShortcut#2703, iconType#2704, iconPackage#2705, iconResource#2706, icon#2707, uri#2708, displayMode#2709, appWidgetProvider#2710, modified#2711], false
"
